analyze-counts --verbose=1 --binary=false --counts-dim=1280 'ark:ali-to-pdf exp_FG/tri_8_2000_ali/final.mdl "ark:gunzip -c exp_FG/tri_8_2000_ali/ali.*.gz |" ark:- |' exp_FG/blstm4i/ali_train_pdf.counts 
ali-to-pdf exp_FG/tri_8_2000_ali/final.mdl 'ark:gunzip -c exp_FG/tri_8_2000_ali/ali.*.gz |' ark:- 
LOG (ali-to-pdf[5.5.1074~1-71f3]:main():ali-to-pdf.cc:68) Converted 2919 alignments to pdf sequences.
LOG (analyze-counts[5.5.1074~1-71f3]:main():analyze-counts.cc:191) Printing...
### The sorted count table,
count	(norm),	id	(symbol):
128	(0.0001534),	716	
128	(0.0001534),	902	
128	(0.0001534),	951	
129	(0.000154598),	506	
129	(0.000154598),	1028	
129	(0.000154598),	1194	
130	(0.000155796),	1064	
130	(0.000155796),	1075	
130	(0.000155796),	1188	
131	(0.000156995),	336	
132	(0.000158193),	502	
132	(0.000158193),	581	
132	(0.000158193),	1137	
133	(0.000159392),	278	
133	(0.000159392),	1026	
134	(0.00016059),	145	
134	(0.00016059),	479	
134	(0.00016059),	752	
135	(0.000161789),	2	
135	(0.000161789),	122	
135	(0.000161789),	310	
135	(0.000161789),	329	
135	(0.000161789),	348	
135	(0.000161789),	1013	
136	(0.000162987),	539	
136	(0.000162987),	550	
137	(0.000164186),	307	
137	(0.000164186),	315	
137	(0.000164186),	534	
138	(0.000165384),	127	
138	(0.000165384),	1079	
138	(0.000165384),	1172	
139	(0.000166582),	465	
139	(0.000166582),	515	
140	(0.000167781),	437	
140	(0.000167781),	894	
140	(0.000167781),	961	
141	(0.000168979),	223	
142	(0.000170178),	209	
142	(0.000170178),	213	
142	(0.000170178),	482	
142	(0.000170178),	784	
142	(0.000170178),	868	
143	(0.000171376),	490	
143	(0.000171376),	500	
143	(0.000171376),	948	
143	(0.000171376),	1029	
143	(0.000171376),	1136	
144	(0.000172575),	555	
144	(0.000172575),	1204	
145	(0.000173773),	1081	
146	(0.000174971),	1041	
147	(0.00017617),	38	
147	(0.00017617),	123	
147	(0.00017617),	499	
148	(0.000177368),	163	
148	(0.000177368),	238	
148	(0.000177368),	480	
148	(0.000177368),	492	
149	(0.000178567),	412	
149	(0.000178567),	622	
149	(0.000178567),	636	
149	(0.000178567),	1220	
150	(0.000179765),	455	
150	(0.000179765),	704	
150	(0.000179765),	762	
151	(0.000180964),	286	
151	(0.000180964),	1145	
152	(0.000182162),	33	
152	(0.000182162),	562	
152	(0.000182162),	1092	
153	(0.00018336),	834	
154	(0.000184559),	261	
154	(0.000184559),	498	
154	(0.000184559),	602	
154	(0.000184559),	617	
154	(0.000184559),	966	
154	(0.000184559),	1212	
155	(0.000185757),	1066	
155	(0.000185757),	1146	
156	(0.000186956),	263	
156	(0.000186956),	356	
156	(0.000186956),	486	
156	(0.000186956),	748	
157	(0.000188154),	109	
157	(0.000188154),	167	
157	(0.000188154),	655	
157	(0.000188154),	1274	
158	(0.000189353),	682	
158	(0.000189353),	934	
159	(0.000190551),	538	
160	(0.000191749),	10	
160	(0.000191749),	637	
160	(0.000191749),	916	
161	(0.000192948),	357	
161	(0.000192948),	493	
161	(0.000192948),	831	
161	(0.000192948),	1171	
162	(0.000194146),	620	
163	(0.000195345),	126	
163	(0.000195345),	268	
163	(0.000195345),	404	
164	(0.000196543),	584	
164	(0.000196543),	597	
164	(0.000196543),	694	
165	(0.000197742),	520	
165	(0.000197742),	1164	
166	(0.00019894),	285	
166	(0.00019894),	883	
166	(0.00019894),	1051	
167	(0.000200139),	66	
167	(0.000200139),	421	
167	(0.000200139),	822	
167	(0.000200139),	848	
167	(0.000200139),	933	
167	(0.000200139),	1217	
168	(0.000201337),	880	
168	(0.000201337),	943	
169	(0.000202535),	1125	
169	(0.000202535),	1243	
170	(0.000203734),	470	
170	(0.000203734),	709	
170	(0.000203734),	972	
170	(0.000203734),	973	
171	(0.000204932),	174	
171	(0.000204932),	459	
171	(0.000204932),	601	
171	(0.000204932),	690	
171	(0.000204932),	833	
171	(0.000204932),	1010	
172	(0.000206131),	240	
172	(0.000206131),	703	
173	(0.000207329),	19	
173	(0.000207329),	79	
173	(0.000207329),	464	
173	(0.000207329),	759	
173	(0.000207329),	945	
173	(0.000207329),	1126	
174	(0.000208528),	1	
174	(0.000208528),	334	
174	(0.000208528),	369	
174	(0.000208528),	789	
174	(0.000208528),	1058	
175	(0.000209726),	615	
175	(0.000209726),	628	
175	(0.000209726),	974	
175	(0.000209726),	1042	
176	(0.000210924),	41	
176	(0.000210924),	225	
176	(0.000210924),	447	
176	(0.000210924),	826	
176	(0.000210924),	1090	
176	(0.000210924),	1233	
176	(0.000210924),	1267	
177	(0.000212123),	591	
177	(0.000212123),	1223	
178	(0.000213321),	34	
178	(0.000213321),	1279	
179	(0.00021452),	484	
179	(0.00021452),	678	
179	(0.00021452),	992	
180	(0.000215718),	93	
180	(0.000215718),	199	
180	(0.000215718),	456	
181	(0.000216917),	121	
181	(0.000216917),	574	
181	(0.000216917),	583	
181	(0.000216917),	609	
181	(0.000216917),	841	
181	(0.000216917),	944	
182	(0.000218115),	29	
182	(0.000218115),	74	
183	(0.000219313),	365	
183	(0.000219313),	1005	
184	(0.000220512),	736	
185	(0.00022171),	111	
185	(0.00022171),	721	
185	(0.00022171),	888	
185	(0.00022171),	1025	
185	(0.00022171),	1161	
186	(0.000222909),	242	
186	(0.000222909),	333	
187	(0.000224107),	228	
188	(0.000225306),	114	
188	(0.000225306),	197	
189	(0.000226504),	414	
189	(0.000226504),	475	
189	(0.000226504),	700	
190	(0.000227703),	95	
190	(0.000227703),	131	
190	(0.000227703),	272	
191	(0.000228901),	61	
191	(0.000228901),	849	
191	(0.000228901),	864	
191	(0.000228901),	938	
192	(0.000230099),	468	
192	(0.000230099),	884	
192	(0.000230099),	1128	
193	(0.000231298),	142	
193	(0.000231298),	187	
193	(0.000231298),	612	
193	(0.000231298),	680	
193	(0.000231298),	743	
193	(0.000231298),	1096	
194	(0.000232496),	140	
194	(0.000232496),	255	
194	(0.000232496),	351	
194	(0.000232496),	405	
194	(0.000232496),	1040	
194	(0.000232496),	1211	
194	(0.000232496),	1213	
194	(0.000232496),	1235	
195	(0.000233695),	753	
195	(0.000233695),	1105	
196	(0.000234893),	1247	
197	(0.000236092),	6	
197	(0.000236092),	120	
197	(0.000236092),	311	
197	(0.000236092),	821	
198	(0.00023729),	83	
198	(0.00023729),	233	
198	(0.00023729),	287	
198	(0.00023729),	777	
199	(0.000238488),	296	
199	(0.000238488),	760	
199	(0.000238488),	800	
200	(0.000239687),	630	
200	(0.000239687),	697	
200	(0.000239687),	809	
200	(0.000239687),	869	
201	(0.000240885),	1250	
202	(0.000242084),	31	
202	(0.000242084),	284	
202	(0.000242084),	691	
202	(0.000242084),	818	
203	(0.000243282),	246	
203	(0.000243282),	406	
203	(0.000243282),	626	
203	(0.000243282),	1033	
203	(0.000243282),	1264	
204	(0.000244481),	332	
205	(0.000245679),	276	
205	(0.000245679),	563	
205	(0.000245679),	779	
206	(0.000246877),	590	
206	(0.000246877),	853	
207	(0.000248076),	7	
207	(0.000248076),	402	
207	(0.000248076),	1012	
208	(0.000249274),	536	
208	(0.000249274),	605	
209	(0.000250473),	298	
209	(0.000250473),	302	
209	(0.000250473),	396	
209	(0.000250473),	873	
210	(0.000251671),	699	
211	(0.00025287),	362	
211	(0.00025287),	524	
211	(0.00025287),	569	
211	(0.00025287),	646	
212	(0.000254068),	27	
212	(0.000254068),	32	
